"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Lluwen, Exchange Student","BG","U","33850","3.63","6665","4.59","32892","78.9%","54.4%","5447","53.5%","8219","58.9%","13666","56.8%","18774","52.5%","4.2pp"
"Dreamroot Cascade","","R","18428","3.63","4060","4.81","19856","78.4%","54.5%","3760","55.6%","5313","57.6%","9073","56.8%","10295","52.4%","4.3pp"
"Cuboid Colony","UG","U","39853","4.23","7806","5.49","37053","76.6%","53.9%","6524","56.7%","10258","56.6%","16782","56.7%","19716","51.5%","5.2pp"
"Inkling Mascot","WB","C","126826","6.29","19074","8.38","82469","67.0%","57.3%","14394","58.1%","19507","55.5%","33901","56.6%","48307","57.8%","-1.1pp"
"Snooping Page","WB","U","38087","4.13","7775","5.09","39131","78.9%","56.5%","6957","57.6%","9695","55.8%","16652","56.6%","22383","56.4%","0.2pp"
"Interjection","W","C","140287","7.29","17774","10.41","30760","27.1%","56.2%","5053","55.3%","7643","57.4%","12696","56.5%","17984","56.0%","0.6pp"
"Heated Argument","R","C","124909","5.75","22091","7.90","96345","69.0%","55.1%","16055","52.5%","27818","58.8%","43873","56.5%","50943","53.8%","2.7pp"
"Spirit Mascot","WR","C","122400","6.05","22126","7.87","104363","73.7%","57.3%","18236","57.6%","27684","55.7%","45920","56.5%","58488","57.9%","-1.5pp"
"Brain Freeze","U","R","4622","4.77","903","6.10","2803","50.2%","54.4%","464","","931","59.7%","1395","56.4%","1288","50.6%","5.8pp"
"Big Score","R","R","4070","3.92","812","4.95","3752","73.0%","54.6%","638","53.0%","1155","58.3%","1793","56.4%","1906","52.8%","3.6pp"
"Visionary's Dance","UR","C","122105","5.65","22660","7.70","103663","73.2%","54.3%","18512","52.0%","31277","59.0%","49789","56.4%","50426","51.4%","4.9pp"
"Kirol, History Buff","WR","U","42129","4.54","9330","5.61","46945","79.0%","56.8%","8254","57.4%","12536","55.5%","20790","56.3%","26191","57.2%","-1.0pp"
"Thunderdrum Soloist","R","U","42680","4.56","8193","5.97","39180","75.6%","54.8%","7012","56.1%","10996","56.4%","18008","56.3%","20567","53.3%","2.9pp"
"Joined Researchers","W","R","18167","4.02","3742","5.02","17574","73.7%","56.7%","3197","56.8%","4400","55.9%","7597","56.3%","9955","56.9%","-0.6pp"
"Paradox Gardens","","C","143985","5.43","26712","7.50","132154","79.4%","54.2%","25078","55.8%","35939","56.6%","61017","56.2%","68911","52.3%","3.9pp"
"Decorum Dissertation","B","M","4107","2.03","1785","2.05","8830","79.8%","54.2%","1440","54.3%","2237","57.4%","3677","56.2%","5060","52.5%","3.7pp"
"Melancholic Poet","B","C","117607","5.40","17169","7.44","84510","76.9%","56.4%","15483","56.3%","19915","56.1%","35398","56.2%","48686","56.5%","-0.3pp"
"Planar Engineering","G","R","18538","4.26","2985","5.66","9021","48.7%","53.2%","1549","53.6%","2530","57.7%","4079","56.2%","4858","50.7%","5.5pp"
"Empty the Warrens","R","R","4849","5.00","691","6.80","1661","38.1%","51.7%","287","","477","","764","56.2%","850","48.1%","8.0pp"
"Tragedy Feaster","B","R","10699","2.63","3134","2.82","15684","80.7%","55.1%","2644","55.1%","3937","56.8%","6581","56.1%","8926","54.0%","2.2pp"
"Hop to It","W","U","47465","5.23","8426","6.84","34878","65.1%","56.0%","6171","55.6%","8899","56.5%","15070","56.1%","19711","55.9%","0.3pp"
"Shattered Acolyte","W","C","127856","5.97","19684","8.27","83838","66.3%","56.9%","15338","56.8%","20504","55.6%","35842","56.1%","47825","57.5%","-1.4pp"
"Forum of Amity","","C","150061","5.75","25360","8.17","111826","69.6%","55.8%","20941","57.4%","27585","55.1%","48526","56.1%","62520","55.5%","0.6pp"
"Preordain","U","R","3875","3.76","835","4.82","4077","79.7%","54.6%","742","53.1%","1160","58.0%","1902","56.1%","2077","52.8%","3.3pp"
"Cauldron of Essence","BG","R","10090","2.47","3342","2.54","15383","75.2%","53.5%","2713","52.4%","3826","58.7%","6539","56.1%","8715","51.5%","4.6pp"
"Ascendant Dustspeaker","W","C","132688","6.42","19255","9.00","65297","53.1%","56.4%","10831","54.6%","17452","57.0%","28283","56.1%","36989","56.5%","-0.5pp"
"Homesickness","U","U","47367","5.06","8960","6.63","38881","70.1%","53.8%","6480","51.5%","11650","58.6%","18130","56.0%","19682","51.1%","4.9pp"
"Royal Treatment","G","U","48919","5.25","7148","7.39","27913","63.6%","53.9%","4741","54.4%","7064","57.1%","11805","56.0%","15901","52.2%","3.9pp"
"Dig Site Inventory","W","C","123463","5.80","19584","7.90","82667","66.2%","56.4%","14029","55.2%","19862","56.7%","33891","56.0%","48610","56.6%","-0.6pp"
"Wander Off","B","C","89708","3.88","17519","5.20","95723","87.2%","55.0%","16118","53.1%","24838","57.9%","40956","56.0%","53845","54.1%","1.9pp"
"Burrog Barrage","G","C","119385","5.48","18431","7.45","82224","71.4%","54.3%","13939","53.1%","21484","57.9%","35423","56.0%","46049","52.8%","3.2pp"
"Sleight of Hand","U","U","49311","5.34","7741","7.45","29959","63.0%","53.6%","5302","53.5%","8897","57.4%","14199","56.0%","15258","51.2%","4.8pp"
